Gender,X,Y,Z,Output
m,16,37,37,0
m,13,39,35,0
m,11,40,40,0
m,7,39,39,0
m,4,40,40,0
m,0,38,41,0
m,1,39,40,0
m,7,37,38,0
m,7,35,38,0
m,6,36,38,0
m,7,36,34,0
m,10,35,32,0
m,12,34,34,0
m,15,34,33,0
m,16,35,33,0
m,18,33,33,0
m,18,35,32,0
m,19,34,32,0
m,17,36,31,0
m,13,36,33,0
m,14,37,34,0
m,10,35,33,0
m,3,40,34,0
m,12,37,39,0
m,11,38,37,0
m,16,38,37,0
m,15,38,37,0
m,16,36,38,0
m,13,37,37,0
m,13,36,38,0
m,12,38,39,0
m,10,39,40,0
m,10,40,39,0
m,9,39,39,0
m,7,39,40,0
m,2,40,41,0
m,3,41,41,0
m,7,38,38,0
m,6,36,36,0
m,8,36,36,0
m,8,36,35,0
m,10,36,35,0
m,13,34,33,0
m,15,35,34,0
m,13,36,33,0
m,15,36,33,0
m,15,35,32,0
m,14,34,32,0
m,15,36,33,0
m,12,36,33,0
m,13,35,32,0
m,13,36,34,0
m,7,36,33,0
m,12,36,34,0
m,12,36,35,0
m,11,37,37,0
m,12,37,37,0
m,14,38,35,0
m,17,37,36,0
m,17,37,38,0
m,17,37,37,0
m,13,39,36,0
m,12,39,38,0
m,10,39,39,0
m,10,39,39,0
m,8,41,39,0
m,9,41,40,0
m,6,39,39,0
m,1,39,39,0
m,4,40,41,0
m,10,37,36,0
m,9,37,36,0
m,8,37,36,0
m,5,37,35,0
m,9,35,34,0
m,13,35,33,0
m,12,35,32,0
m,13,36,33,0
m,13,36,33,0
m,14,37,33,0
m,14,36,33,0
m,13,36,34,0
m,13,35,34,0
m,13,37,34,0
m,12,36,34,0
m,7,36,34,0
m,14,35,35,0
m,15,37,36,0
m,14,37,37,0
m,14,38,36,0
m,13,38,35,0
m,16,36,38,0
m,15,35,37,0
m,13,36,36,0
m,12,38,35,0
m,11,39,36,0
m,11,42,38,0
m,9,42,39,0
m,6,43,38,0
m,7,42,39,0
m,5,42,39,0
m,1,43,39,0
m,3,44,41,0
m,9,39,38,0
m,7,38,38,0
m,6,38,36,0
m,7,37,36,0
m,11,36,36,0
m,11,36,35,0
m,12,36,33,0
m,12,36,32,0
m,12,36,33,0
m,14,34,32,0
m,14,35,33,0
m,15,36,33,0
m,14,36,33,0
m,16,36,32,0
m,15,36,33,0
m,11,36,33,0
m,12,35,33,0
m,12,34,34,0
m,12,37,35,0
m,12,38,37,0
m,13,39,35,0
m,15,39,36,0
m,16,37,36,0
m,15,36,36,0
m,13,37,36,0
m,10,41,38,0
m,10,40,39,0
m,9,41,39,0
m,7,42,40,0
m,6,42,42,0
m,5,44,39,0
m,4,40,39,0
m,3,41,42,0
m,9,39,38,0
m,6,38,37,0
m,5,36,36,0
m,7,36,34,0
m,8,35,35,0
m,11,36,34,0
m,13,36,32,0
m,13,37,32,0
m,13,37,32,0
m,15,37,31,0
m,15,35,32,0
m,13,36,32,0
m,14,36,32,0
m,13,35,32,0
m,13,36,33,0
m,8,36,34,0
m,12,37,35,0
m,13,36,35,0
m,11,37,38,0
m,11,37,37,0
m,14,37,35,0
m,17,37,35,0
m,16,37,35,0
m,13,37,37,0
m,10,39,37,0
m,10,39,37,0
m,11,39,38,0
m,10,39,38,0
m,8,40,39,0
m,7,41,40,0
m,4,41,41,0
m,0,43,42,0
m,7,39,38,0
m,8,38,37,0
m,5,37,37,0
m,5,37,35,0
m,7,37,35,0
m,8,34,34,0
m,10,35,33,0
m,12,36,33,0
m,13,35,34,0
m,14,35,33,0
m,16,36,33,0
m,16,36,32,0
m,15,36,33,0
m,14,36,33,0
m,14,35,33,0
m,17,37,34,0
m,11,37,35,0
m,10,36,33,0
m,11,37,34,0
m,10,37,37,0
m,10,38,37,0
m,9,39,36,0
m,12,37,36,0
m,13,38,37,0
m,7,40,35,0
m,10,41,37,0
m,10,39,38,0
m,11,40,38,0
m,11,40,38,0
m,10,41,39,0
m,11,41,39,0
m,8,39,39,0
m,7,40,38,0
m,5,42,41,0
m,6,40,39,0
m,4,38,36,0
m,3,35,35,0
m,6,34,35,0
m,8,34,35,0
m,9,35,34,0
m,11,37,33,0
m,13,37,32,0
m,14,36,34,0
m,14,36,33,0
m,15,34,33,0
m,16,35,32,0
m,15,35,33,0
m,13,37,34,0
m,15,35,32,0
m,10,36,34,0
m,11,37,34,0
m,14,36,35,0
m,12,38,38,0
m,9,36,38,0
m,9,39,37,0
m,13,36,37,0
m,13,36,36,0
m,11,37,35,0
m,10,39,36,0
m,11,39,38,0
m,11,40,38,0
m,11,42,37,0
m,13,40,38,0
m,12,39,39,0
m,10,40,38,0
m,2,41,38,0
m,0,41,41,0
m,6,37,38,0
m,7,36,37,0
m,7,35,40,0
m,5,31,36,0
m,6,34,34,0
m,9,35,36,0
m,11,36,36,0
m,10,39,37,0
m,9,36,36,0
m,11,35,35,0
m,14,37,35,0
m,17,35,37,0
m,18,37,36,0
m,17,39,36,0
m,15,37,36,0
m,12,36,33,0
m,11,36,34,0
m,16,35,38,0
m,15,37,35,0
m,10,38,34,0
m,7,37,33,0
m,5,38,35,0
m,7,38,35,0
m,10,39,35,0
m,8,38,34,0
m,11,41,32,0
m,11,38,33,0
m,10,40,34,0
m,10,39,34,0
m,12,39,33,0
m,12,40,35,0
m,10,41,37,0
m,9,40,36,0
m,4,40,38,0
m,4,43,41,0
m,9,40,40,0
m,10,37,39,0
m,8,36,39,0
m,6,38,38,0
m,8,36,37,0
m,9,36,37,0
m,11,34,35,0
m,11,34,36,0
m,13,35,35,0
m,13,35,35,0
m,14,35,35,0
m,16,36,34,0
m,16,35,35,0
m,13,36,33,0
m,14,35,34,0
m,15,37,33,0
m,8,36,33,0
m,10,36,32,0
m,12,39,32,0
m,11,38,36,0
m,9,38,36,0
m,10,41,34,0
m,11,38,35,0
m,13,35,37,0
m,14,36,36,0
m,14,39,37,0
m,13,41,38,0
m,10,40,41,0
m,10,41,40,0
m,9,40,39,0
m,10,40,40,0
m,6,41,39,0
m,8,40,38,0
m,1,41,39,0
m,4,41,39,0
m,9,39,36,0
m,7,37,35,0
m,6,36,35,0
m,6,36,34,0
m,10,35,33,0
m,12,35,33,0
m,13,36,33,0
m,12,36,33,0
m,12,36,32,0
m,15,36,33,0
m,16,33,33,0
m,20,36,34,0
m,18,35,34,0
m,16,37,34,0
m,15,36,34,0
m,9,36,35,0
m,7,37,33,0
m,11,34,34,0
m,11,38,38,0
m,10,37,39,0
m,8,40,36,0
m,11,39,35,0
m,15,37,36,0
m,10,37,36,0
m,13,41,36,0
m,12,39,37,0
m,11,38,38,0
m,11,41,38,0
m,12,41,38,0
m,12,41,39,0
m,9,40,38,0
m,9,39,38,0
m,3,40,40,0
m,2,41,40,0
m,5,37,35,0
m,6,36,35,0
m,5,35,35,0
m,7,37,35,0
m,9,36,35,0
m,12,34,34,0
m,12,35,32,0
m,11,35,32,0
m,14,34,31,0
m,13,36,32,0
m,15,36,32,0
m,18,35,32,0
m,19,36,32,0
m,19,36,32,0
m,17,37,32,0
m,18,37,33,0
m,14,35,34,0
m,11,37,34,0
m,10,36,34,0
m,7,36,36,0
m,8,38,38,0
m,6,39,39,0
m,10,40,39,0
m,14,38,38,0
m,11,39,38,0
m,11,41,37,0
m,11,39,39,0
m,11,39,39,0
m,13,41,39,0
m,13,42,39,0
m,13,39,39,0
m,10,42,39,0
m,7,39,37,0
m,6,37,37,0
m,4,39,37,0
m,5,37,36,0
m,6,36,34,0
m,6,35,33,0
m,6,34,32,0
m,8,36,32,0
m,11,35,32,0
m,14,37,31,0
m,15,36,32,0
m,14,35,32,0
m,15,35,32,0
m,16,36,32,0
m,17,36,33,0
m,16,36,34,0
m,15,39,34,0
m,14,38,34,0
m,11,39,34,0
m,9,39,36,0
m,9,38,37,0
m,11,39,37,0
m,14,39,38,0
m,14,39,37,0
m,13,38,37,0
m,10,39,38,0
m,11,36,38,0
m,12,39,38,0
m,13,39,39,0
m,13,39,39,0
m,11,39,38,0
m,13,39,39,0
m,12,39,39,0
m,13,38,37,0
m,13,38,38,0
m,14,38,37,0
m,12,37,38,0
m,13,38,36,0
m,11,37,37,0
m,11,37,35,0
m,9,37,35,0
m,10,36,35,0
m,12,35,34,0
m,13,38,34,0
m,14,37,34,0
m,13,37,34,0
m,13,37,33,0
m,13,38,34,0
m,14,37,34,0
m,13,37,34,0
m,14,36,34,0
m,13,38,35,0
m,13,37,35,0
m,13,38,36,0
m,13,39,35,0
m,13,38,35,0
m,13,39,36,0
m,12,38,36,0
m,14,39,36,0
m,13,40,36,0
m,13,39,36,0
m,12,40,36,0
m,12,39,36,0
m,14,40,36,0
m,13,38,36,0
m,12,38,34,0
m,12,37,36,0
m,12,38,35,0
m,14,38,36,0
m,13,38,35,0
m,13,38,35,0
m,12,37,36,0
m,14,38,36,0
m,13,37,36,0
m,12,37,36,0
m,12,37,36,0
m,14,39,35,0
m,12,38,35,0
m,13,39,36,0
m,13,38,36,0
m,13,38,35,0
m,12,38,36,0
m,13,38,35,0
m,12,38,36,0
m,13,39,36,0
m,13,39,36,0
m,13,39,35,0
m,13,38,34,0
m,12,39,36,0
m,12,39,36,0
m,13,38,36,0
m,13,38,36,0
m,12,38,35,0
m,14,37,35,0
m,12,37,35,0
m,12,39,36,0
m,12,38,36,0
m,12,38,36,0
m,14,37,36,0
m,12,38,36,0
m,13,37,36,0
m,12,37,35,0
m,11,39,36,0
m,12,38,36,0
m,12,38,36,0
m,13,38,36,0
m,12,38,36,0
m,13,37,35,0
m,11,38,35,0
m,12,37,36,0
m,12,38,35,0
m,12,37,36,0
m,13,37,36,0
m,12,39,36,0
m,12,38,35,0
m,13,38,35,0
m,13,37,35,0
m,13,38,37,0
m,13,38,36,0
m,14,38,36,0
m,13,37,36,0
m,14,39,36,0
m,12,38,36,0
m,13,38,35,0
m,12,36,36,0
m,12,38,35,0
m,13,38,36,0
m,12,38,35,0
m,12,38,34,0
m,14,37,36,0
m,12,37,35,0
m,14,38,35,0
m,12,38,36,0
m,13,39,35,0
m,12,36,35,0
m,13,38,35,0
m,12,38,35,0
m,12,37,36,0
m,12,38,37,0
m,14,37,35,0
m,13,36,35,0
m,13,37,35,0
m,13,38,35,0
m,11,37,35,0
m,13,37,35,0
m,12,37,37,0
m,12,37,35,0
m,11,38,36,0
m,13,37,35,0
m,13,38,36,0
m,13,38,36,0
m,12,38,36,0
m,12,37,35,0
m,12,37,36,0
m,12,37,36,0
m,12,38,35,0
m,13,37,36,0
m,13,38,36,0
m,13,37,36,0
m,13,38,36,0
m,14,37,36,0
m,12,37,35,0
m,13,38,36,0
m,12,37,35,0
m,12,37,35,0
m,14,38,35,0
m,12,38,35,0
m,12,39,36,0
m,12,38,37,0
m,12,38,36,0
m,12,37,36,0
m,13,39,36,0
m,13,38,36,0
m,14,38,36,0
m,13,38,37,0
m,12,37,36,0
m,13,37,36,0
m,12,37,34,0
m,12,36,36,0
m,12,37,35,0
m,12,38,35,0
m,13,38,36,0
m,13,37,35,0
m,13,38,35,0
m,12,36,36,0
m,12,38,35,0
m,13,38,36,0
m,12,38,36,0
m,13,38,35,0
m,12,38,35,0
m,12,37,35,0
m,12,37,36,0
m,12,38,36,0
m,12,38,35,0
m,13,38,36,0
m,12,38,36,0
m,13,38,36,0
m,13,38,35,0
m,13,38,36,0
m,13,38,35,0
m,12,38,36,0
m,13,38,34,0
m,12,40,36,0
m,13,39,36,0
m,12,38,37,0
m,12,40,36,0
m,11,41,36,0
m,11,43,37,0
m,11,43,37,0
m,10,46,37,0
m,11,48,36,0
m,10,50,36,0
m,11,53,36,0
m,11,53,36,0
m,13,54,37,0
m,14,54,37,0
m,17,55,37,0
m,19,53,38,0
m,21,52,40,0
m,24,49,40,0
m,28,50,40,0
m,32,46,38,0
m,34,41,39,0
m,37,39,39,0
m,39,38,39,0
m,41,35,40,0
m,42,36,43,0
m,42,35,43,0
m,43,34,45,0
m,42,34,48,0
m,42,35,50,0
m,40,33,52,0
m,40,34,54,0
m,39,34,53,0
m,38,38,56,0
m,40,34,55,0
m,40,35,53,0
m,42,35,53,0
m,42,35,51,0
m,42,36,50,0
m,43,36,50,0
m,42,36,51,0
m,42,36,52,0
m,41,34,51,0
m,42,35,52,0
m,41,34,51,0
m,42,34,51,0
m,43,36,52,0
m,41,36,51,0
m,43,36,52,0
m,41,34,52,0
m,43,35,51,0
m,41,36,51,0
m,41,36,51,0
m,41,36,51,0
m,41,36,50,0
m,30,39,50,0
m,30,39,50,0
m,30,39,50,0
m,29,39,51,0
m,28,37,50,0
m,28,37,49,0
m,26,39,46,0
m,27,40,47,0
m,28,41,44,0
m,26,42,43,0
m,25,44,42,0
m,24,44,41,0
m,23,46,42,0
m,21,47,43,0
m,17,49,41,0
m,15,49,38,0
m,14,52,37,0
m,13,51,36,0
m,11,46,36,0
m,11,44,38,0
m,13,43,37,0
m,12,42,37,0
m,13,43,38,0
m,12,44,37,0
m,13,43,36,0
m,13,40,35,0
m,11,40,35,0
m,11,38,34,0
m,11,40,36,0
m,10,36,36,0
m,11,36,34,0
m,11,35,34,0
m,7,39,33,0
m,7,40,34,0
m,9,36,31,0
m,10,34,30,0
m,11,33,30,0
m,13,32,32,0
m,10,34,30,0
m,8,35,29,0
m,9,34,28,0
m,12,36,30,0
m,13,37,29,0
m,15,36,31,0
m,15,38,31,0
m,16,37,32,0
m,16,36,31,0
m,15,38,31,0
m,15,38,32,0
m,15,39,31,0
m,15,39,31,0
m,13,41,31,0
m,12,39,30,0
m,11,39,30,0
m,6,38,27,0
m,2,39,27,0
m,9,37,32,0
m,12,39,33,0
m,12,37,32,0
m,9,35,30,0
m,11,34,32,0
m,13,36,34,0
m,15,37,35,0
m,17,38,35,0
m,16,38,36,0
m,14,37,36,0
m,16,37,35,0
m,15,36,36,0
m,15,38,35,0
m,16,39,35,0
m,13,38,34,0
m,9,35,33,0
m,5,37,31,0
m,1,37,29,0
m,4,35,29,0
m,8,39,30,0
m,8,35,29,0
m,9,34,28,0
m,12,35,27,0
m,16,34,29,0
m,16,35,30,0
m,16,36,29,0
m,16,39,29,0
m,17,42,30,0
m,17,43,32,0
m,17,42,32,0
m,17,42,33,0
m,14,41,32,0
m,13,43,32,0
m,12,41,31,0
m,11,42,30,0
m,9,38,29,0
m,2,40,30,0
m,7,38,32,0
m,13,37,34,0
m,12,35,32,0
m,10,33,30,0
m,9,35,31,0
m,10,35,31,0
m,11,36,32,0
m,11,36,32,0
m,12,37,33,0
m,12,37,32,0
m,14,37,33,0
m,16,38,33,0
m,17,38,35,0
m,18,38,35,0
m,19,39,34,0
m,17,41,35,0
m,16,41,35,0
m,15,43,37,0
m,12,44,34,0
m,9,44,35,0
m,6,43,35,0
m,5,43,34,0
m,9,43,34,0
m,10,42,33,0
m,8,42,31,0
m,10,40,31,0
m,12,39,31,0
m,14,38,30,0
m,13,38,31,0
m,16,38,30,0
m,17,39,31,0
m,18,39,31,0
m,18,39,31,0
m,18,39,32,0
m,15,40,32,0
m,13,40,31,0
m,10,39,32,0
m,8,39,31,0
m,6,39,31,0
m,3,40,32,0
m,8,38,34,0
m,16,36,34,0
m,13,37,35,0
m,9,37,34,0
m,10,36,33,0
m,13,37,35,0
m,15,35,35,0
m,15,37,35,0
m,17,37,35,0
m,18,39,35,0
m,16,38,35,0
m,19,38,36,0
m,17,38,36,0
m,18,40,36,0
m,15,40,37,0
m,12,40,38,0
m,7,41,37,0
m,8,41,37,0
m,8,40,37,0
m,7,39,36,0
m,4,40,38,0
m,7,40,38,0
m,12,39,37,0
m,11,37,34,0
m,9,37,33,0
m,7,36,33,0
m,12,36,32,0
m,14,36,32,0
m,14,37,32,0
m,15,39,34,0
m,15,39,34,0
m,16,40,33,0
m,18,40,33,0
m,19,37,33,0
m,18,37,34,0
m,18,38,34,0
m,14,38,34,0
m,11,39,32,0
m,10,39,32,0
m,5,40,31,0
m,5,38,33,0
m,9,38,35,0
m,14,39,35,0
m,8,39,35,0
m,8,38,32,0
m,11,38,32,0
m,12,36,33,0
m,15,36,34,0
m,16,38,34,0
m,14,40,34,0
m,17,38,35,0
m,15,40,36,0
m,15,39,36,0
m,14,39,37,0
m,12,38,37,0
m,12,41,37,0
m,10,40,39,0
m,10,40,40,0
m,5,40,39,0
m,2,38,37,0
m,3,38,36,0
m,9,37,35,0
m,12,37,33,0
m,8,36,31,0
m,8,37,31,0
m,11,35,33,0
m,13,36,32,0
m,13,38,31,0
m,13,38,32,0
m,13,39,31,0
m,15,38,31,0
m,17,38,32,0
m,17,38,32,0
m,18,38,32,0
m,15,39,31,0
m,16,39,32,0
m,14,38,31,0
m,13,40,32,0
m,6,41,32,0
m,6,41,31,0
m,10,39,34,0
m,12,39,34,0
m,8,39,34,0
m,7,40,35,0
m,11,38,35,0
m,12,38,33,0
m,13,34,35,0
m,15,38,37,0
m,15,40,37,0
m,16,38,37,0
m,16,39,38,0
m,16,37,38,0
m,15,38,38,0
m,13,38,38,0
m,10,38,38,0
m,10,38,38,0
m,7,39,37,0
m,0,40,37,0
m,4,37,35,0
m,10,39,34,0
m,11,37,32,0
m,8,37,29,0
m,4,37,27,0
m,9,35,30,0
m,12,38,29,0
m,14,39,30,0
m,13,38,31,0
m,15,39,31,0
m,16,39,31,0
m,20,38,31,0
m,20,38,32,0
m,21,38,31,0
m,19,39,31,0
m,18,39,30,0
m,17,41,31,0
m,16,40,30,0
m,10,41,30,0
m,6,42,31,0
m,6,43,33,0
m,9,43,36,0
m,4,44,36,0
m,4,43,37,0
m,10,40,35,0
m,12,40,34,0
m,16,40,33,0
m,17,40,33,0
m,16,38,32,0
m,17,39,32,0
m,18,40,32,0
m,18,39,32,0
m,15,41,33,0
m,13,40,34,0
m,11,40,36,0
m,8,40,36,0
m,8,39,36,0
m,4,41,38,0
m,3,40,37,0
m,9,38,35,0
m,16,33,33,0
m,14,34,32,0
m,9,36,29,0
m,9,35,29,0
m,12,35,25,0
m,15,37,26,0
m,14,33,27,0
m,15,34,28,0
m,15,36,28,0
m,16,37,29,0
m,16,36,30,0
m,15,37,31,0
m,14,40,31,0
m,13,40,31,0
m,11,40,30,0
m,9,40,30,0
m,8,39,30,0
m,0,38,29,0
m,6,36,31,0
m,15,33,31,0
m,10,33,30,0
m,8,31,30,0
m,11,34,32,0
m,14,35,31,0
m,16,34,31,0
m,17,35,32,0
m,16,37,33,0
m,14,37,35,0
m,16,37,35,0
m,15,39,35,0
m,13,38,35,0
m,12,37,35,0
m,12,37,36,0
m,13,38,36,0
m,12,38,36,0
m,12,38,34,0
m,6,40,32,0
m,2,40,35,0
m,4,38,35,0
m,11,38,33,0
m,11,38,32,0
m,9,37,30,0
m,9,36,31,0
m,12,36,30,0
m,15,36,32,0
m,15,37,31,0
m,17,39,31,0
m,16,37,31,0
m,16,39,32,0
m,16,39,33,0
m,17,38,32,0
m,16,37,32,0
m,15,38,33,0
m,11,39,32,0
m,11,38,32,0
m,7,39,34,0
m,2,40,34,0
m,8,39,36,0
m,16,40,37,0
m,12,39,38,0
m,7,39,35,0
m,9,39,34,0
m,15,36,36,0
m,17,37,36,0
m,18,37,36,0
m,17,38,36,0
m,15,39,37,0
m,14,39,38,0
m,13,40,38,0
m,14,40,40,0
m,13,41,40,0
m,13,40,40,0
m,13,40,39,0
m,14,38,39,0
m,13,38,38,0
m,9,41,37,0
m,6,41,39,0
m,8,42,37,0
m,13,41,33,0
m,14,40,31,0
m,13,39,30,0
m,15,39,30,0
m,15,42,29,0
m,15,40,28,0
m,18,40,29,0
m,18,40,29,0
m,17,40,30,0
m,15,39,29,0
m,15,40,30,0
m,14,40,30,0
m,13,39,31,0
m,12,39,31,0
m,7,40,32,0
m,5,41,32,0
m,2,40,33,0
m,7,40,37,0
m,11,42,38,0
m,8,40,37,0
m,9,41,35,0
m,12,38,36,0
m,15,35,34,0
m,16,38,35,0
m,18,35,35,0
m,18,39,36,0
m,19,41,36,0
m,17,42,37,0
m,17,42,37,0
m,18,43,38,0
m,19,42,38,0
m,16,43,38,0
m,18,43,37,0
m,15,42,37,0
m,13,44,36,0
m,8,42,36,0
m,6,44,37,0
m,6,44,36,0
m,11,43,34,0
m,10,41,33,0
m,9,40,34,0
m,10,39,35,0
m,12,39,34,0
m,13,39,33,0
m,14,38,34,0
m,14,39,34,0
m,14,38,35,0
m,14,39,35,0
m,16,39,35,0
m,14,38,35,0
m,14,39,36,0
m,13,37,35,0
m,14,37,35,0
m,8,37,33,0
m,10,37,36,0
m,11,38,37,0
m,14,39,35,0
m,10,38,35,0
m,8,37,36,0
m,11,35,36,0
m,14,37,37,0
m,17,38,37,0
m,15,38,39,0
m,18,39,40,0
m,16,40,41,0
m,17,41,41,0
m,15,40,41,0
